product_id,name,category,price,warranty_years
1,Summit Pro 3-Season Tent,Camping Gear,349.0,3
2,TrailBlazer 65L Backpack,Backpacks,229.0,5
3,AllTerrain Hiking Boots,Footwear,159.0,1
4,StormShield Rain Jacket,Apparel,189.0,2
5,PeakLite Sleeping Bag,Camping Gear,139.0,3
6,RidgeRunner Trail Shoes,Footwear,129.0,1
7,BaseCamp 4-Person Tent,Camping Gear,449.0,3
8,MicroPack 20L Daypack,Backpacks,79.0,5
9,AlpineFlex Softshell Jacket,Apparel,139.0,2
10,GlacierGuard Insulated Gloves,Accessories,39.0,1
11,TrekMaster Trekking Poles,Accessories,59.0,2
12,SolarFlare Camp Lantern,Accessories,34.0,1
13,CascadeDry Hydration Pack,Backpacks,69.0,2
14,IronPeak Steel Toe Boots,Footwear,179.0,1
15,DriftWood Camp Hammock,Camping Gear,89.0,2
